merchant_id,signup_date,industry,country,business_size,acquisition_channel,customer_acquisition_cost,kyc_completed,api_integrated,time_to_first_transaction_days
M00672,2024-12-11,SaaS,Ghana,Enterprise,Partnership,1984.3,1,0,16.0
M00673,2024-01-02,E-commerce,Nigeria,SME,Organic,10747.13,1,1,12.0
M00674,2024-08-29,Healthcare,South Africa,SME,Referral,3702.06,1,1,17.0
M00675,2025-04-21,E-commerce,South Africa,SME,Paid Ads,4027.95,1,1,8.0
M00676,2024-05-07,Hospitality,Kenya,Mid-Market,Organic,7258.01,1,1,0.0
M00677,2024-10-19,Healthcare,Nigeria,Enterprise,Organic,1524.14,0,0,
M00678,2024-04-01,Logistics,Nigeria,Mid-Market,Organic,6458.33,0,1,
M00679,2025-03-25,Gaming,Kenya,Mid-Market,Paid Ads,2775.08,1,1,4.0
M00680,2024-02-14,Gaming,Nigeria,Mid-Market,Referral,1152.47,1,1,5.0
M00681,2024-05-29,Education,Ghana,Mid-Market,Paid Ads,1161.4,1,1,9.0
M00682,2024-10-29,Gaming,Ghana,Enterprise,Partnership,631.13,0,1,
M00683,2025-01-24,Logistics,Ghana,SME,Sales Team,4689.29,1,0,8.0
M00684,2024-01-13,Logistics,Kenya,Enterprise,Organic,5257.96,1,0,17.0
M00685,2025-05-01,Healthcare,Nigeria,Enterprise,Sales Team,7209.28,1,0,1.0
M00686,2025-03-10,Education,Nigeria,SME,Partnership,1607.03,1,1,1.0
M00687,2024-05-01,Hospitality,South Africa,SME,Referral,496.04,1,0,0.0
M00688,2024-12-30,Education,Nigeria,SME,Referral,1084.72,1,1,9.0
M00689,2025-04-04,Hospitality,Kenya,Mid-Market,Organic,7776.64,1,0,6.0
M00690,2024-10-24,SaaS,Ghana,Enterprise,Sales Team,1590.87,0,0,
M00691,2024-02-08,E-commerce,South Africa,Enterprise,Referral,1418.19,1,0,0.0
M00692,2024-05-01,Education,Kenya,Mid-Market,Sales Team,1489.45,1,0,9.0
M00693,2024-12-24,Healthcare,Kenya,Mid-Market,Paid Ads,5142.22,1,0,17.0
M00694,2024-04-29,SaaS,Ghana,SME,Partnership,5074.01,1,1,0.0
M00695,2024-02-25,Retail,Nigeria,SME,Sales Team,1568.79,1,0,0.0
M00696,2024-08-26,Healthcare,South Africa,SME,Partnership,2765.11,1,0,0.0
M00697,2024-07-02,Logistics,South Africa,Mid-Market,Sales Team,2258.87,1,1,14.0
M00698,2024-05-15,SaaS,Nigeria,SME,Paid Ads,2165.59,1,1,14.0
M00699,2025-02-27,E-commerce,Ghana,Mid-Market,Referral,2094.79,1,1,0.0
M00700,2024-02-16,Logistics,Kenya,Mid-Market,Partnership,2427.44,1,1,0.0
M00701,2024-01-26,Education,Kenya,SME,Organic,2182.68,0,0,
M00702,2025-05-02,Hospitality,South Africa,Enterprise,Partnership,3765.37,1,1,8.0
M00703,2024-05-07,SaaS,South Africa,SME,Referral,1414.27,1,1,8.0
M00704,2024-03-03,E-commerce,Nigeria,SME,Referral,2827.82,0,0,
M00705,2024-04-11,Hospitality,Kenya,Enterprise,Organic,2538.32,1,1,14.0
M00706,2024-10-25,Education,Nigeria,SME,Organic,2641.89,1,1,5.0
M00707,2024-04-11,Gaming,Ghana,SME,Paid Ads,3889.4,1,0,4.0
M00708,2024-03-03,E-commerce,South Africa,SME,Referral,2634.24,1,1,0.0
M00709,2025-04-18,Hospitality,South Africa,Mid-Market,Organic,3381.07,1,1,18.0
M00710,2024-07-14,Hospitality,Ghana,Mid-Market,Referral,8554.0,1,0,16.0
M00711,2025-04-10,Retail,Kenya,Mid-Market,Sales Team,10575.92,1,1,3.0
M00712,2025-03-28,Retail,Nigeria,Enterprise,Partnership,7736.31,1,1,8.0
M00713,2024-11-11,Logistics,Kenya,Mid-Market,Sales Team,4199.52,1,1,6.0
M00714,2025-03-27,Gaming,Nigeria,SME,Paid Ads,537.77,1,1,12.0
M00715,2024-07-15,Retail,South Africa,SME,Partnership,4538.38,1,1,7.0
M00716,2024-05-07,E-commerce,South Africa,Enterprise,Paid Ads,2252.46,1,0,16.0
M00717,2024-09-02,Gaming,Kenya,Enterprise,Partnership,9663.64,0,1,
M00718,2024-06-13,Hospitality,Kenya,SME,Organic,4614.58,1,0,14.0
M00719,2024-06-12,Logistics,Nigeria,Mid-Market,Organic,1143.47,1,1,1.0
M00720,2025-02-18,Gaming,Kenya,Enterprise,Referral,1600.11,1,0,6.0
M00721,2025-05-13,Retail,Nigeria,SME,Referral,2234.18,1,1,6.0
M00722,2024-05-16,E-commerce,Ghana,Enterprise,Sales Team,2458.63,1,0,4.0
M00723,2024-06-30,Retail,Ghana,SME,Partnership,2187.62,0,1,
M00724,2024-06-11,Healthcare,Nigeria,Enterprise,Paid Ads,3127.24,1,1,5.0
M00725,2025-04-30,Retail,Ghana,Mid-Market,Partnership,3237.26,1,0,7.0
M00726,2024-06-07,Retail,South Africa,SME,Organic,4293.44,1,0,0.0
M00727,2024-01-29,Logistics,Ghana,SME,Partnership,305.28,1,0,13.0
M00728,2024-09-01,E-commerce,Kenya,Enterprise,Referral,5326.82,1,0,4.0
M00729,2025-02-16,Retail,Kenya,Enterprise,Referral,1512.83,1,0,7.0
M00730,2025-04-15,Healthcare,Nigeria,SME,Referral,1705.94,1,1,12.0
M00731,2024-10-27,Retail,Nigeria,Enterprise,Paid Ads,646.37,1,1,1.0
M00732,2025-05-06,SaaS,Kenya,Enterprise,Sales Team,5538.78,1,1,11.0
M00733,2024-10-27,SaaS,Kenya,Mid-Market,Paid Ads,547.59,1,1,1.0
M00734,2024-03-10,Retail,South Africa,Enterprise,Sales Team,1570.18,1,1,17.0
M00735,2024-11-28,Healthcare,Ghana,Enterprise,Partnership,1743.55,1,1,1.0
M00736,2024-12-21,Healthcare,Ghana,Enterprise,Partnership,6529.6,1,0,11.0
M00737,2025-02-21,Retail,South Africa,Mid-Market,Paid Ads,8084.31,1,1,3.0
M00738,2024-03-06,Retail,Nigeria,Enterprise,Partnership,7122.46,1,1,11.0
M00739,2024-07-19,E-commerce,Ghana,Enterprise,Paid Ads,1979.39,1,1,21.0
M00740,2025-04-16,Logistics,Nigeria,Mid-Market,Referral,3904.66,1,1,14.0
M00741,2024-06-18,SaaS,Ghana,Mid-Market,Paid Ads,3940.86,0,0,
M00742,2024-03-26,SaaS,Kenya,Mid-Market,Organic,5356.55,1,0,15.0
M00743,2024-05-15,Logistics,Ghana,Enterprise,Organic,6240.51,1,1,3.0
M00744,2024-06-28,Education,Nigeria,Enterprise,Organic,9526.66,1,1,10.0
M00745,2024-01-25,Hospitality,South Africa,Enterprise,Sales Team,1772.42,1,1,13.0
M00746,2025-05-11,Retail,South Africa,Mid-Market,Sales Team,1651.71,1,1,12.0
M00747,2024-06-28,Hospitality,Nigeria,Mid-Market,Partnership,1590.03,1,1,12.0
M00748,2024-11-29,Logistics,Ghana,Mid-Market,Organic,7712.83,0,1,
M00749,2025-02-13,E-commerce,Kenya,SME,Paid Ads,11104.97,1,1,1.0
M00750,2024-05-13,SaaS,Nigeria,Mid-Market,Referral,3536.51,1,1,9.0
M00751,2025-03-30,Hospitality,Ghana,Enterprise,Organic,17578.81,1,1,8.0
M00752,2024-10-07,SaaS,Kenya,Enterprise,Partnership,2752.38,1,1,11.0
M00753,2025-04-02,Gaming,Nigeria,Mid-Market,Referral,469.48,1,0,9.0
M00754,2024-11-06,Hospitality,Ghana,SME,Organic,7412.44,0,0,
M00755,2024-06-18,Logistics,Ghana,Mid-Market,Partnership,1536.7,1,1,14.0
M00756,2025-01-04,Education,Kenya,Mid-Market,Referral,7337.03,1,1,3.0
M00757,2024-02-19,E-commerce,South Africa,Enterprise,Partnership,3967.35,1,1,0.0
M00758,2025-03-06,Gaming,Ghana,SME,Paid Ads,2450.44,1,0,11.0
M00759,2024-01-02,Hospitality,Nigeria,Mid-Market,Partnership,7359.63,1,1,9.0
M00760,2024-09-02,Logistics,Nigeria,SME,Referral,3595.92,1,1,8.0
M00761,2024-03-28,Education,Nigeria,Mid-Market,Organic,2551.56,1,1,2.0
M00762,2024-06-06,Hospitality,South Africa,Mid-Market,Paid Ads,3252.63,1,1,6.0
M00763,2024-02-16,Hospitality,Ghana,Mid-Market,Sales Team,7837.01,1,0,9.0
M00764,2024-07-08,Retail,South Africa,SME,Paid Ads,7517.28,1,1,10.0
M00765,2024-08-13,Gaming,Kenya,SME,Paid Ads,3924.52,1,1,14.0
M00766,2024-10-15,E-commerce,Ghana,Enterprise,Organic,3333.03,1,0,1.0
M00767,2024-02-13,Healthcare,South Africa,Enterprise,Referral,12141.4,1,1,14.0
M00768,2024-10-10,E-commerce,South Africa,Enterprise,Sales Team,15237.11,1,1,1.0
M00769,2025-05-09,Gaming,Ghana,Mid-Market,Paid Ads,3865.82,1,1,4.0
M00770,2024-02-10,Hospitality,Nigeria,Enterprise,Partnership,11450.87,1,1,2.0
M00771,2025-04-06,Retail,Nigeria,Mid-Market,Referral,9353.91,1,1,7.0
M00772,2025-04-30,Retail,Ghana,SME,Referral,5130.58,1,1,11.0
M00773,2024-01-22,Hospitality,Nigeria,Enterprise,Sales Team,1323.51,1,0,2.0
M00774,2024-04-13,Retail,Kenya,Mid-Market,Organic,1122.53,1,0,15.0
M00775,2024-02-14,Hospitality,South Africa,Enterprise,Paid Ads,4285.19,1,1,7.0
M00776,2025-03-14,Education,South Africa,SME,Partnership,339.12,1,1,10.0
M00777,2024-10-27,Hospitality,Nigeria,Mid-Market,Referral,515.66,1,0,3.0
M00778,2024-03-16,SaaS,Nigeria,Enterprise,Organic,3798.93,1,1,0.0
M00779,2025-02-06,Education,Kenya,Mid-Market,Paid Ads,8658.33,1,1,11.0
M00780,2024-07-15,Gaming,South Africa,SME,Referral,1200.1,1,1,18.0
M00781,2024-05-21,Hospitality,Ghana,Enterprise,Partnership,12630.77,1,1,5.0
M00782,2024-12-14,Hospitality,Nigeria,Mid-Market,Paid Ads,3833.81,1,1,15.0
M00783,2024-12-19,Logistics,Nigeria,Enterprise,Sales Team,694.46,1,0,16.0
M00784,2025-04-16,Education,Kenya,SME,Paid Ads,1737.04,1,1,3.0
M00785,2025-02-22,Education,Kenya,Mid-Market,Sales Team,13310.28,1,1,9.0
M00786,2025-03-15,SaaS,Ghana,SME,Paid Ads,4996.96,1,1,5.0
M00787,2025-05-13,Gaming,Kenya,Mid-Market,Sales Team,5422.78,1,1,3.0
M00788,2024-11-05,SaaS,Ghana,Mid-Market,Referral,2030.41,1,0,8.0
M00789,2025-04-12,Hospitality,South Africa,Enterprise,Paid Ads,2105.14,1,1,13.0
M00790,2025-02-24,E-commerce,Ghana,SME,Paid Ads,2967.94,0,1,
M00791,2024-12-29,Hospitality,Ghana,Enterprise,Partnership,4533.93,1,1,10.0
M00792,2024-01-15,Retail,Ghana,SME,Organic,3913.95,1,0,15.0
M00793,2024-05-07,E-commerce,South Africa,SME,Paid Ads,3086.85,1,1,11.0
M00794,2024-12-26,Logistics,Kenya,Mid-Market,Sales Team,11243.2,1,1,14.0
M00795,2024-09-15,Hospitality,Nigeria,Enterprise,Organic,9347.68,1,1,8.0
M00796,2024-05-03,Healthcare,South Africa,Enterprise,Sales Team,2819.6,1,1,0.0
M00797,2024-03-31,Gaming,Kenya,Mid-Market,Referral,2085.26,1,1,7.0
M00798,2025-03-04,Education,Nigeria,Mid-Market,Organic,3845.85,1,1,6.0
M00799,2024-07-16,E-commerce,Ghana,Enterprise,Referral,11023.78,1,1,18.0
M00800,2025-03-14,Logistics,Ghana,Enterprise,Referral,5122.52,1,0,20.0
M00801,2024-05-17,Hospitality,Nigeria,Enterprise,Organic,2292.05,0,0,
M00802,2024-08-30,Retail,Ghana,Enterprise,Organic,640.91,1,1,6.0
M00803,2024-04-24,Education,Kenya,Enterprise,Paid Ads,3651.77,0,0,
M00804,2024-08-04,Hospitality,Kenya,Mid-Market,Paid Ads,3603.9,1,1,3.0
M00805,2024-04-21,Gaming,Kenya,Enterprise,Partnership,117.49,1,1,6.0
M00806,2025-02-26,Hospitality,Nigeria,SME,Partnership,4822.64,1,1,8.0
M00807,2024-12-05,Healthcare,Kenya,Mid-Market,Organic,2812.01,1,1,6.0
M00808,2024-09-03,SaaS,Kenya,Mid-Market,Paid Ads,2882.45,1,0,0.0
M00809,2025-03-17,Education,Kenya,Enterprise,Paid Ads,4807.11,1,0,5.0
M00810,2024-04-06,Retail,Ghana,SME,Partnership,4238.72,1,1,5.0
M00811,2024-07-25,Healthcare,Ghana,Enterprise,Organic,2097.66,1,1,7.0
M00812,2024-12-01,Gaming,Kenya,Mid-Market,Sales Team,1672.26,1,0,17.0
M00813,2024-07-26,Hospitality,Nigeria,Enterprise,Partnership,3756.08,1,1,10.0
M00814,2025-02-21,Logistics,Kenya,Enterprise,Referral,2045.53,1,1,8.0
M00815,2024-12-17,Gaming,Kenya,Enterprise,Paid Ads,7239.89,1,1,0.0
M00816,2025-03-08,Retail,Ghana,Mid-Market,Organic,12201.38,1,1,0.0
M00817,2024-08-29,Retail,Kenya,Enterprise,Partnership,7511.59,1,1,17.0
M00818,2025-01-25,Retail,Kenya,Enterprise,Organic,8300.24,1,0,4.0
M00819,2024-04-23,Healthcare,Ghana,Enterprise,Paid Ads,2407.39,1,1,9.0
M00820,2024-08-03,Healthcare,Kenya,Mid-Market,Partnership,482.05,1,1,4.0
M00821,2024-05-30,Gaming,Nigeria,Mid-Market,Organic,1521.11,1,1,7.0
M00822,2025-03-19,SaaS,South Africa,SME,Partnership,6470.72,1,1,7.0
M00823,2024-03-02,Hospitality,Kenya,Mid-Market,Organic,6382.02,1,0,8.0
M00824,2025-03-21,Retail,Ghana,SME,Paid Ads,4232.09,1,1,9.0
M00825,2024-07-28,Gaming,Ghana,Mid-Market,Referral,1958.11,1,1,9.0
M00826,2025-02-02,SaaS,South Africa,Mid-Market,Referral,11156.59,1,1,3.0
M00827,2024-06-09,E-commerce,Nigeria,Mid-Market,Paid Ads,777.27,1,1,0.0
M00828,2024-04-17,Retail,Ghana,Mid-Market,Organic,6922.8,1,0,8.0
M00829,2024-03-07,Hospitality,South Africa,Mid-Market,Sales Team,3063.76,1,1,11.0
M00830,2025-05-09,Gaming,South Africa,SME,Organic,1398.81,1,0,13.0
M00831,2024-09-30,Logistics,Kenya,SME,Paid Ads,2668.87,1,1,14.0
M00832,2025-01-22,Logistics,Nigeria,Enterprise,Organic,11921.26,1,0,10.0
M00833,2024-11-16,Logistics,Ghana,Enterprise,Paid Ads,1654.09,1,0,8.0
M00834,2024-06-08,Retail,Nigeria,Mid-Market,Partnership,6657.27,0,1,
M00835,2024-10-28,Education,Ghana,SME,Organic,1380.9,1,0,3.0
M00836,2024-06-01,Education,South Africa,Enterprise,Partnership,3390.99,1,1,6.0
M00837,2024-11-01,Healthcare,South Africa,Enterprise,Referral,1609.86,1,1,0.0
M00838,2024-06-24,Gaming,Kenya,SME,Referral,3623.88,1,1,12.0
M00839,2025-04-30,Hospitality,Nigeria,SME,Referral,2532.15,1,0,8.0
M00840,2025-01-07,Retail,Ghana,Enterprise,Organic,3274.24,1,1,10.0
M00841,2024-10-28,Retail,Nigeria,Mid-Market,Organic,4046.79,1,1,3.0
M00842,2024-07-11,Education,Nigeria,Enterprise,Organic,2077.01,1,0,9.0
M00843,2024-12-04,SaaS,Nigeria,SME,Organic,4549.82,0,0,
M00844,2024-08-01,Gaming,South Africa,SME,Partnership,3409.04,1,1,1.0
M00845,2024-05-09,Gaming,Ghana,SME,Organic,1026.16,1,0,15.0
M00846,2024-06-03,Hospitality,Nigeria,Enterprise,Partnership,2349.41,1,0,12.0
M00847,2024-05-18,Retail,South Africa,SME,Partnership,5931.07,1,0,1.0
M00848,2025-01-03,SaaS,Kenya,SME,Organic,10511.68,1,1,6.0
M00849,2024-09-11,Logistics,Ghana,Mid-Market,Partnership,7621.03,1,1,9.0
M00850,2025-05-13,Logistics,Kenya,Enterprise,Sales Team,13462.4,1,1,2.0
M00851,2024-05-31,Retail,Nigeria,Enterprise,Sales Team,6876.63,1,0,15.0
M00852,2025-04-11,Logistics,South Africa,Mid-Market,Referral,1465.3,1,0,6.0
M00853,2024-01-02,E-commerce,Nigeria,SME,Partnership,8666.58,1,0,14.0
M00854,2024-12-08,Gaming,Ghana,SME,Partnership,1782.0,1,0,13.0
M00855,2024-02-08,SaaS,Kenya,Enterprise,Referral,3436.23,1,1,10.0
M00856,2024-08-21,Education,Kenya,Mid-Market,Organic,6407.28,1,1,0.0
M00857,2024-02-21,Retail,Nigeria,Mid-Market,Paid Ads,3066.24,1,1,6.0
M00858,2025-02-14,Healthcare,South Africa,Enterprise,Organic,2441.24,1,1,16.0
M00859,2024-02-18,E-commerce,Nigeria,SME,Referral,216.51,1,1,0.0
M00860,2024-06-17,Healthcare,South Africa,Enterprise,Paid Ads,5829.35,1,1,13.0
M00861,2025-03-25,SaaS,Kenya,Mid-Market,Referral,858.22,1,1,7.0
M00862,2024-02-28,Hospitality,South Africa,Mid-Market,Paid Ads,2385.65,0,0,
M00863,2025-03-03,Hospitality,South Africa,Mid-Market,Referral,2642.78,1,1,8.0
M00864,2024-02-27,Retail,Nigeria,SME,Organic,3815.72,1,1,0.0
M00865,2024-08-01,Gaming,South Africa,SME,Partnership,2293.57,1,0,7.0
M00866,2024-07-13,Healthcare,Nigeria,Enterprise,Referral,11874.61,1,1,8.0
M00867,2024-09-04,Gaming,Nigeria,Mid-Market,Sales Team,4236.02,1,1,6.0
M00868,2024-01-24,SaaS,Kenya,Enterprise,Paid Ads,4134.84,1,1,7.0
M00869,2024-01-07,Logistics,Kenya,Enterprise,Partnership,5360.99,1,1,4.0
M00870,2024-12-18,SaaS,South Africa,Enterprise,Referral,1272.0,1,1,4.0
M00871,2024-09-03,Healthcare,South Africa,SME,Partnership,532.83,1,1,3.0
M00872,2025-04-01,E-commerce,Nigeria,Enterprise,Referral,3292.4,1,0,10.0
M00873,2024-09-15,Gaming,South Africa,SME,Organic,2960.08,1,0,13.0
M00874,2025-01-19,Gaming,Kenya,SME,Paid Ads,2435.24,1,1,6.0
M00875,2025-05-11,Education,Nigeria,Enterprise,Referral,3823.03,1,1,9.0
M00876,2024-10-08,Hospitality,South Africa,SME,Organic,7957.75,0,1,
M00877,2024-08-23,Gaming,South Africa,SME,Sales Team,2561.31,1,0,8.0
M00878,2024-08-16,Healthcare,Nigeria,Mid-Market,Organic,1940.27,0,0,
M00879,2024-02-22,Hospitality,South Africa,SME,Partnership,1074.68,1,1,2.0
M00880,2024-10-08,E-commerce,Nigeria,Enterprise,Partnership,8633.65,1,1,8.0
M00881,2024-11-22,Education,Ghana,Enterprise,Sales Team,1574.87,1,1,8.0
M00882,2025-05-01,Healthcare,Kenya,SME,Referral,2998.8,1,1,8.0
M00883,2025-03-08,Gaming,Kenya,Enterprise,Partnership,2403.74,1,1,10.0
M00884,2024-11-03,Gaming,Kenya,Enterprise,Sales Team,7478.41,1,0,9.0
M00885,2024-02-28,SaaS,Ghana,SME,Paid Ads,7410.93,1,0,0.0
M00886,2024-06-30,Education,Kenya,Enterprise,Organic,865.76,1,1,10.0
M00887,2024-01-24,Retail,South Africa,SME,Sales Team,1406.54,1,0,15.0
M00888,2024-02-24,Education,Ghana,SME,Organic,7417.24,1,1,6.0
M00889,2025-04-21,Hospitality,Ghana,Mid-Market,Referral,2960.98,1,0,18.0
M00890,2025-01-01,Healthcare,Nigeria,Mid-Market,Organic,2556.26,1,1,0.0
M00891,2025-04-19,SaaS,South Africa,Mid-Market,Partnership,2475.86,1,0,12.0
M00892,2025-05-04,Retail,South Africa,SME,Partnership,2131.75,1,1,7.0
M00893,2025-01-11,E-commerce,South Africa,Enterprise,Sales Team,2462.44,1,1,6.0
M00894,2025-04-18,Retail,Ghana,Enterprise,Referral,5353.99,1,0,3.0
M00895,2024-02-23,Hospitality,Kenya,Enterprise,Sales Team,878.11,1,1,3.0
M00896,2024-08-02,Logistics,Kenya,Mid-Market,Paid Ads,3757.49,0,1,
M00897,2025-05-11,Education,South Africa,SME,Referral,4000.96,1,1,13.0
M00898,2024-07-30,Education,Kenya,Enterprise,Partnership,1612.43,1,1,12.0
M00899,2024-11-19,Logistics,Ghana,SME,Partnership,4918.62,1,1,7.0
M00900,2024-12-31,Education,Kenya,Enterprise,Referral,4470.27,1,0,17.0
M00901,2024-12-29,Retail,Kenya,Enterprise,Organic,6646.04,1,1,5.0
M00902,2025-01-24,Healthcare,South Africa,Enterprise,Partnership,5797.95,0,1,
M00903,2025-04-27,Hospitality,Kenya,Mid-Market,Organic,9766.83,1,1,11.0
M00904,2024-09-24,SaaS,Nigeria,Mid-Market,Referral,1177.1,1,1,2.0
M00905,2024-01-28,E-commerce,Ghana,Mid-Market,Referral,6678.16,1,1,10.0
M00906,2024-05-26,Education,Ghana,SME,Paid Ads,1531.95,1,0,2.0
M00907,2024-04-14,E-commerce,Kenya,Mid-Market,Organic,2516.49,1,0,0.0
M00908,2024-11-11,Logistics,South Africa,SME,Partnership,5678.9,1,1,0.0
M00909,2025-02-05,Education,Nigeria,Mid-Market,Sales Team,5385.23,1,1,0.0
M00910,2024-08-01,Healthcare,Nigeria,SME,Paid Ads,467.71,1,0,17.0
M00911,2024-04-13,Gaming,Ghana,Enterprise,Paid Ads,2510.04,1,0,13.0
M00912,2025-01-21,Logistics,Ghana,Mid-Market,Sales Team,7335.07,1,1,3.0
M00913,2024-03-31,SaaS,Ghana,SME,Partnership,4923.1,1,1,7.0
M00914,2024-03-02,Hospitality,Nigeria,Mid-Market,Paid Ads,4213.03,1,1,10.0
M00915,2024-10-11,Education,Ghana,SME,Partnership,3099.07,1,1,19.0
M00916,2025-03-09,Education,Nigeria,Mid-Market,Sales Team,5095.94,1,0,6.0
M00917,2024-12-29,Retail,Nigeria,SME,Paid Ads,3121.3,0,1,
M00918,2024-11-01,E-commerce,Kenya,Mid-Market,Partnership,1824.58,1,0,5.0
M00919,2024-10-08,Healthcare,Nigeria,Enterprise,Paid Ads,1220.44,1,1,5.0
M00920,2024-09-26,Logistics,Ghana,Enterprise,Organic,3536.08,0,0,
M00921,2025-02-06,Retail,South Africa,Enterprise,Partnership,8234.32,1,0,8.0
M00922,2024-07-25,SaaS,Kenya,SME,Referral,854.89,1,1,17.0
M00923,2024-12-05,Healthcare,Kenya,Mid-Market,Paid Ads,11174.38,1,1,8.0
M00924,2024-04-21,Gaming,Nigeria,SME,Paid Ads,4967.29,1,1,3.0
M00925,2024-08-16,Logistics,Ghana,SME,Paid Ads,2572.84,1,1,6.0
M00926,2024-07-14,SaaS,South Africa,Mid-Market,Partnership,3253.41,1,0,2.0
M00927,2025-01-05,Education,Nigeria,Enterprise,Paid Ads,677.69,1,1,7.0
M00928,2024-09-20,Gaming,South Africa,SME,Paid Ads,5250.55,1,1,5.0
M00929,2025-04-04,Logistics,Kenya,Enterprise,Organic,1878.02,1,0,8.0
M00930,2025-04-30,SaaS,Ghana,Enterprise,Partnership,2050.49,1,1,7.0
M00931,2024-01-04,SaaS,Ghana,Enterprise,Referral,2101.45,1,1,7.0
M00932,2025-03-18,Hospitality,Nigeria,SME,Partnership,2577.32,1,1,3.0
M00933,2025-02-28,Hospitality,Nigeria,Enterprise,Referral,6705.37,1,0,9.0
M00934,2024-01-13,Gaming,Kenya,SME,Organic,1413.03,1,1,1.0
M00935,2024-02-07,E-commerce,Ghana,Mid-Market,Partnership,3890.46,1,1,1.0
M00936,2024-02-06,Logistics,Kenya,Mid-Market,Sales Team,3855.65,1,1,12.0
M00937,2024-08-18,Hospitality,South Africa,Mid-Market,Organic,3071.11,1,1,14.0
M00938,2024-07-18,SaaS,Nigeria,Enterprise,Partnership,3664.29,1,0,10.0
M00939,2024-02-02,E-commerce,Nigeria,Mid-Market,Partnership,6485.2,1,0,12.0
M00940,2024-02-24,Education,Kenya,Enterprise,Organic,2411.54,1,1,6.0
M00941,2024-05-24,Gaming,South Africa,Mid-Market,Organic,1718.4,0,0,
M00942,2024-08-30,Retail,Ghana,SME,Sales Team,9508.79,1,1,7.0
M00943,2025-02-11,Education,Ghana,Mid-Market,Paid Ads,372.52,1,1,5.0
M00944,2025-05-05,E-commerce,Ghana,SME,Organic,2639.14,0,1,
M00945,2024-01-03,Hospitality,Nigeria,Mid-Market,Referral,7994.2,1,1,5.0
M00946,2025-01-18,Healthcare,Ghana,Mid-Market,Partnership,2828.94,1,1,6.0
M00947,2024-03-13,Retail,Ghana,SME,Partnership,1225.27,1,0,12.0
M00948,2025-03-03,Education,Ghana,SME,Referral,6711.92,1,1,16.0
M00949,2024-12-09,E-commerce,South Africa,Enterprise,Partnership,3003.59,1,0,12.0
M00950,2024-02-07,Education,Nigeria,Mid-Market,Organic,7544.86,1,1,8.0
M00951,2024-04-11,Gaming,Kenya,Mid-Market,Referral,7254.32,1,1,5.0
M00952,2024-12-09,Logistics,Nigeria,Mid-Market,Partnership,1599.89,1,1,3.0
M00953,2024-02-05,Logistics,Kenya,Mid-Market,Sales Team,2291.55,1,1,12.0
M00954,2024-06-17,Education,Ghana,Enterprise,Partnership,9847.84,1,1,1.0
M00955,2024-07-05,Healthcare,South Africa,SME,Organic,2744.31,1,1,14.0
M00956,2024-06-09,Logistics,Ghana,Enterprise,Sales Team,3747.11,1,1,8.0
M00957,2024-05-21,Healthcare,Ghana,Enterprise,Paid Ads,5200.24,1,0,7.0
M00958,2025-03-25,Gaming,South Africa,Mid-Market,Paid Ads,2172.69,1,1,17.0
M00959,2025-01-31,Education,South Africa,Enterprise,Organic,3244.99,1,0,3.0
M00960,2024-03-30,SaaS,Kenya,SME,Partnership,2246.37,1,0,11.0
M00961,2024-04-10,Education,Nigeria,Enterprise,Organic,3631.84,1,0,0.0
M00962,2025-04-01,E-commerce,Nigeria,Enterprise,Partnership,2736.79,1,1,6.0
M00963,2024-07-26,Logistics,Nigeria,Enterprise,Paid Ads,2226.06,1,1,4.0
M00964,2024-10-05,Gaming,Ghana,Mid-Market,Sales Team,3309.41,0,1,
M00965,2024-04-24,Education,Ghana,Mid-Market,Partnership,1400.58,1,1,9.0
M00966,2024-09-18,SaaS,South Africa,Mid-Market,Partnership,2243.69,1,1,13.0
M00967,2024-01-06,Logistics,Ghana,Enterprise,Referral,2937.25,1,1,10.0
M00968,2024-08-16,Retail,Ghana,Enterprise,Partnership,7045.07,1,1,13.0
M00969,2024-12-03,Retail,South Africa,Mid-Market,Organic,704.81,0,1,
M00970,2024-04-22,Gaming,Ghana,SME,Paid Ads,1236.45,1,0,9.0
M00971,2024-07-08,Logistics,Nigeria,Enterprise,Referral,3734.03,1,1,3.0
M00972,2024-09-22,Healthcare,South Africa,Mid-Market,Sales Team,1189.28,1,1,2.0
M00973,2025-03-27,E-commerce,Nigeria,Enterprise,Paid Ads,4571.63,1,0,7.0
M00974,2024-02-22,Education,Kenya,Enterprise,Partnership,3452.18,0,1,
M00975,2024-10-18,Retail,South Africa,Enterprise,Sales Team,6252.45,1,1,11.0
M00976,2024-07-06,SaaS,Kenya,Mid-Market,Referral,2540.17,1,1,0.0
M00977,2024-09-21,Hospitality,Kenya,Mid-Market,Sales Team,4863.98,1,1,0.0
M00978,2025-02-09,Gaming,Nigeria,Enterprise,Referral,1993.39,1,1,15.0
M00979,2024-08-13,Retail,Ghana,SME,Partnership,2514.61,1,1,16.0
M00980,2024-11-25,Education,Ghana,SME,Referral,2111.43,1,1,14.0
M00981,2024-03-21,Healthcare,Nigeria,Enterprise,Referral,12827.37,1,1,8.0
M00982,2024-07-31,Healthcare,Nigeria,Mid-Market,Sales Team,6875.16,0,1,
M00983,2024-09-02,Logistics,Ghana,Enterprise,Sales Team,3102.11,1,1,9.0
M00984,2024-01-12,Logistics,Nigeria,SME,Partnership,1747.03,1,1,2.0
